Date,Close,Open,High,Low,Volume,MM_200,RSI_14
2025-04-26,94646.9296875,94714.6484375,95251.359375,93927.25,17612825123,89022.1782,68.9676
2025-04-25,94720.5,93954.25,95768.390625,92898.59375,40915232364,88859.4551,69.1061
2025-04-24,93943.796875,93692.3984375,94016.1953125,91696.7109375,31483175315,88696.9125,68.1381
2025-04-23,93699.109375,93427.5859375,94535.734375,91962.9609375,41719568821,88540.857,67.7542
2025-04-22,93441.890625,87521.875,93817.3828125,87084.53125,55899038456,88382.4089,67.4277
2025-04-21,87518.90625,85171.5390625,88460.09375,85143.8359375,41396190190,88225.4169,58.0901
2025-04-20,85174.3046875,85066.0703125,85306.3828125,83976.84375,14664050812,88091.5315,53.1942
2025-04-19,85063.4140625,84450.8671875,85597.703125,84353.4609375,15259300427,87968.8017,52.9715
2025-04-18,84450.8046875,84900.1875,85095.046875,84298.8828125,12728372364,87847.3767,51.703
2025-04-17,84895.75,84030.671875,85449.0703125,83749.75,21276866029,87741.5506,52.7794
2025-04-16,84033.8671875,83674.5078125,85428.28125,83100.6171875,29617804112,87644.7408,50.995
2025-04-15,83668.9921875,84539.6953125,86429.3515625,83598.8203125,28040322885,87553.8922,50.2487
2025-04-14,84542.390625,83694.5234375,85785.0,83690.640625,34090769777,87464.6883,52.0199
2025-04-13,83684.9765625,85279.46875,86015.1875,83027.0078125,28796984817,87367.6225,50.5762
2025-04-12,85287.109375,83404.515625,85856.1875,82769.375,24258059104,87264.6116,53.2451
2025-04-11,83404.8359375,79625.046875,84247.4765625,78936.3203125,41656778779,87159.6212,50.2483
2025-04-10,79626.140625,82565.9765625,82700.9296875,78456.1328125,44718000633,87059.4132,43.4308
2025-04-09,82573.953125,76273.5625,83541.0,74589.671875,84213627038,86979.5398,48.3169
2025-04-08,76271.953125,79218.4765625,80823.890625,76198.0234375,48314590749,86883.3798,33.9258
2025-04-07,79235.3359375,78221.3359375,81119.0625,74436.6796875,91262424987,86818.175,38.4532
2025-04-06,78214.484375,83504.5078125,83704.71875,77097.7421875,36294853736,86737.2757,36.3526
2025-04-05,83504.796875,83844.703125,84207.015625,82377.734375,14380803631,86654.2678,46.0882
2025-04-04,83843.8046875,83100.25,84696.1484375,81670.75,45157640207,86538.3396,46.9116
2025-04-03,83102.828125,82487.4765625,83909.296875,81282.1015625,36852112080,86410.0825,45.1884
2025-04-02,82485.7109375,85180.609375,88466.953125,82343.5390625,47584398470,86289.8225,43.4891
